"UF";"Cargo";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Partido";"Coligação";"Turno";"Situação de totalização";"Votos nominais do candidato";"Voto em trânsito";"Votos válidos por abrangência";"% votos válidos";"Data última totalização"
"RJ";"Presidente";"17";"JAIR MESSIAS BOLSONARO";"JAIR BOLSONARO";"PSL";"PSL / PRTB";"1";"2º turno";"5107735";"0";"8543393";"59,79";"22/01/2019 14:12:19"
"RJ";"Presidente";"12";"CIRO FERREIRA GOMES";"CIRO GOMES";"PDT";"PDT / AVANTE";"1";"Não eleito";"1300292";"0";"8543393";"15,22";"22/01/2019 14:12:19"
"RJ";"Presidente";"13";"FERNANDO HADDAD";"FERNANDO HADDAD";"PT";"PT / PC do B / PROS";"1";"2º turno";"1255425";"0";"8543393";"14,69";"22/01/2019 14:12:19"
"RJ";"Presidente";"51";"BENEVENUTO DACIOLO FONSECA DOS SANTOS";"CABO DACIOLO";"PATRI";"PATRI";"1";"Não eleito";"211444";"0";"8543393";"2,47";"22/01/2019 14:12:19"
"RJ";"Presidente";"45";"GERALDO JOSÉ RODRIGUES ALCKMIN FILHO";"GERALDO ALCKMIN";"PSDB";"PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD";"1";"Não eleito";"208325";"0";"8543393";"2,44";"22/01/2019 14:12:19"
"RJ";"Presidente";"30";"JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO";"JOÃO AMOÊDO";"NOVO";"NOVO";"1";"Não eleito";"139208";"0";"8543393";"1,63";"22/01/2019 14:12:19"
"RJ";"Presidente";"18";"MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA";"MARINA SILVA";"REDE";"REDE / PV";"1";"Não eleito";"130794";"0";"8543393";"1,53";"22/01/2019 14:12:19"
"RJ";"Presidente";"15";"HENRIQUE DE CAMPOS MEIRELLES";"HENRIQUE MEIRELLES";"MDB";"MDB / PHS";"1";"Não eleito";"77333";"0";"8543393";",91";"22/01/2019 14:12:19"
"RJ";"Presidente";"50";"GUILHERME CASTRO BOULOS";"GUILHERME BOULOS";"PSOL";"PSOL / PCB";"1";"Não eleito";"57846";"0";"8543393";",68";"22/01/2019 14:12:19"
"RJ";"Presidente";"19";"ALVARO FERNANDES DIAS";"ALVARO DIAS";"PODE";"PODE / PRP / PSC / PTC";"1";"Não eleito";"41544";"0";"8543393";",49";"22/01/2019 14:12:19"
"RJ";"Presidente";"16";"VERA LUCIA PEREIRA DA SILVA SALGADO";"VERA";"PSTU";"PSTU";"1";"Não eleito";"6005";"0";"8543393";",07";"22/01/2019 14:12:19"
"RJ";"Presidente";"27";"JOSE MARIA EYMAEL";"EYMAEL";"DC";"DC";"1";"Não eleito";"4636";"0";"8543393";",05";"22/01/2019 14:12:19"
"RJ";"Presidente";"54";"JOÃO VICENTE FONTELLA GOULART";"JOÃO GOULART FILHO";"PPL";"PPL";"1";"Não eleito";"2806";"0";"8543393";",03";"22/01/2019 14:12:19"
