"UF";"Cargo";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Partido";"Coligação";"Turno";"Situação de totalização";"Votos nominais do candidato";"Voto em trânsito";"Votos válidos por abrangência";"% votos válidos";"Data última totalização"
"SP";"Presidente";"17";"JAIR MESSIAS BOLSONARO";"JAIR BOLSONARO";"PSL";"PSL / PRTB";"1";"2º turno";"12378012";"0";"23352779";"53";"22/01/2019 14:12:19"
"SP";"Presidente";"13";"FERNANDO HADDAD";"FERNANDO HADDAD";"PT";"PT / PC do B / PROS";"1";"2º turno";"3833982";"0";"23352779";"16,42";"22/01/2019 14:12:19"
"SP";"Presidente";"12";"CIRO FERREIRA GOMES";"CIRO GOMES";"PDT";"PDT / AVANTE";"1";"Não eleito";"2650440";"0";"23352779";"11,35";"22/01/2019 14:12:19"
"SP";"Presidente";"45";"GERALDO JOSÉ RODRIGUES ALCKMIN FILHO";"GERALDO ALCKMIN";"PSDB";"PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD";"1";"Não eleito";"2224049";"0";"23352779";"9,52";"22/01/2019 14:12:19"
"SP";"Presidente";"30";"JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO";"JOÃO AMOÊDO";"NOVO";"NOVO";"1";"Não eleito";"1062118";"0";"23352779";"4,55";"22/01/2019 14:12:19"
"SP";"Presidente";"51";"BENEVENUTO DACIOLO FONSECA DOS SANTOS";"CABO DACIOLO";"PATRI";"PATRI";"1";"Não eleito";"274672";"0";"23352779";"1,18";"22/01/2019 14:12:19"
"SP";"Presidente";"15";"HENRIQUE DE CAMPOS MEIRELLES";"HENRIQUE MEIRELLES";"MDB";"MDB / PHS";"1";"Não eleito";"267725";"0";"23352779";"1,15";"22/01/2019 14:12:19"
"SP";"Presidente";"18";"MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA";"MARINA SILVA";"REDE";"REDE / PV";"1";"Não eleito";"262050";"0";"23352779";"1,12";"22/01/2019 14:12:19"
"SP";"Presidente";"50";"GUILHERME CASTRO BOULOS";"GUILHERME BOULOS";"PSOL";"PSOL / PCB";"1";"Não eleito";"187451";"0";"23352779";",8";"22/01/2019 14:12:19"
"SP";"Presidente";"19";"ALVARO FERNANDES DIAS";"ALVARO DIAS";"PODE";"PODE / PRP / PSC / PTC";"1";"Não eleito";"177949";"0";"23352779";",76";"22/01/2019 14:12:19"
"SP";"Presidente";"27";"JOSE MARIA EYMAEL";"EYMAEL";"DC";"DC";"1";"Não eleito";"14462";"0";"23352779";",06";"22/01/2019 14:12:19"
"SP";"Presidente";"16";"VERA LUCIA PEREIRA DA SILVA SALGADO";"VERA";"PSTU";"PSTU";"1";"Não eleito";"12434";"0";"23352779";",05";"22/01/2019 14:12:19"
"SP";"Presidente";"54";"JOÃO VICENTE FONTELLA GOULART";"JOÃO GOULART FILHO";"PPL";"PPL";"1";"Não eleito";"7435";"0";"23352779";",03";"22/01/2019 14:12:19"
